elements	DOWN_Willis2017	UP_Willis2017	Minderjahn2020	Sive2016	Steidl2017	DeKoter2011	TIS_UP	TIS_DOWN	TIS_shPU1_DOWN	TIS_shPU1_UP	UT_shPU1_DOWN	UT_shPU1_UP
PLD4	1	0	1	1	0	0	1	0	1	0	1	0
BTK	1	0	1	0	0	1	0	0	0	0	1	0
RASGRP3	1	0	1	0	0	0	1	0	1	0	0	0
MYO1F	1	0	1	0	0	0	1	0	1	0	0	0
RNASE6	1	0	1	0	0	0	1	0	1	0	0	0
CTSS	1	0	1	0	0	0	1	0	1	0	0	0
PIK3AP1	1	0	1	0	0	0	0	0	1	0	1	0
CD52	1	0	0	1	0	0	1	0	1	0	0	0
PLEK	1	0	0	1	0	0	0	0	1	0	1	0
CIITA	1	0	0	0	0	1	1	0	1	0	0	0
TLR9	1	0	0	0	0	1	1	0	1	0	0	0
CD68	1	0	0	0	0	1	1	0	1	0	0	0
CYBB	1	0	0	0	0	1	1	0	1	0	0	0
CSF2RB	1	0	0	0	0	1	1	0	1	0	0	0
NCF1	1	0	0	0	0	1	1	0	0	0	1	0
SPI1	1	0	0	0	0	1	0	0	1	0	1	0
CD83	1	0	0	0	0	0	1	0	1	0	1	0
CAPG	1	0	0	0	0	0	1	0	1	0	1	0
LYN	1	0	0	0	0	0	1	0	1	0	1	0
PRKCB	1	0	0	0	0	0	0	1	1	0	1	0
ADAM19	1	0	0	0	0	0	0	1	1	0	1	0
CRIM1	0	1	1	0	0	0	1	0	0	1	0	0
DUSP5	0	1	0	0	0	0	1	0	1	0	1	0
RGCC	0	1	0	0	0	0	0	1	0	1	0	1
SLA	0	0	1	1	0	0	0	0	1	0	1	0
FCGR3	0	0	0	1	0	1	1	0	1	0	0	0
MPEG1	0	0	0	1	0	0	1	0	1	0	1	0
CD74	0	0	0	0	1	0	1	0	1	0	1	0
LACC1	0	0	0	0	1	0	1	0	1	0	1	0
CD86	0	0	0	0	0	1	1	0	1	0	1	0
TYROBP	0	0	0	0	0	1	1	0	1	0	1	0
LYL1	1	0	1	0	0	1	0	0	0	0	0	0
GSN	1	0	1	0	0	0	1	0	0	0	0	0
CNR2	1	0	1	0	0	0	1	0	0	0	0	0
GPR183	1	0	1	0	0	0	1	0	0	0	0	0
SH2D3C	1	0	1	0	0	0	0	0	1	0	0	0
FCGR2B	1	0	0	1	0	1	0	0	0	0	0	0
FES	1	0	0	1	0	1	0	0	0	0	0	0
PRKCD	1	0	0	1	0	0	1	0	0	0	0	0
PARP8	1	0	0	1	0	0	1	0	0	0	0	0
ANK	1	0	0	1	0	0	1	0	0	0	0	0
ZYX	1	0	0	1	0	0	1	0	0	0	0	0
TPD52	1	0	0	1	0	0	1	0	0	0	0	0
IRF5	1	0	0	1	0	0	1	0	0	0	0	0
BCL2	1	0	0	1	0	0	0	1	0	0	0	0
ALOX5AP	1	0	0	1	0	0	0	0	1	0	0	0
LY86	1	0	0	1	0	0	0	0	1	0	0	0
ASNSD1	1	0	0	0	1	0	0	0	1	0	0	0
SP110	1	0	0	0	1	0	0	0	1	0	0	0
CD72	1	0	0	0	0	1	0	1	0	0	0	0
REL	1	0	0	0	0	1	0	0	1	0	0	0
CCL22	1	0	0	0	0	0	1	0	1	0	0	0
CD82	1	0	0	0	0	0	1	0	1	0	0	0
TAGAP	1	0	0	0	0	0	1	0	1	0	0	0
H2-DMA	1	0	0	0	0	0	1	0	1	0	0	0
ACOX3	1	0	0	0	0	0	1	0	1	0	0	0
SP140	1	0	0	0	0	0	1	0	1	0	0	0
FCRL5	1	0	0	0	0	0	1	0	1	0	0	0
CUL7	1	0	0	0	0	0	1	0	1	0	0	0
A530032D15RIK	1	0	0	0	0	0	1	0	1	0	0	0
RENBP	1	0	0	0	0	0	1	0	1	0	0	0
H2-OA	1	0	0	0	0	0	1	0	1	0	0	0
LGMN	1	0	0	0	0	0	1	0	1	0	0	0
SUOX	1	0	0	0	0	0	1	0	1	0	0	0
HCK	1	0	0	0	0	0	1	0	1	0	0	0
GNS	1	0	0	0	0	0	1	0	1	0	0	0
BCAR3	1	0	0	0	0	0	1	0	1	0	0	0
SLC37A2	1	0	0	0	0	0	1	0	1	0	0	0
BCL2A1B	1	0	0	0	0	0	1	0	1	0	0	0
MS4A6C	1	0	0	0	0	0	1	0	1	0	0	0
TLR2	1	0	0	0	0	0	1	0	1	0	0	0
PDE4A	1	0	0	0	0	0	1	0	1	0	0	0
SLC28A2	1	0	0	0	0	0	1	0	1	0	0	0
SP100	1	0	0	0	0	0	1	0	1	0	0	0
H2-DMB1	1	0	0	0	0	0	1	0	1	0	0	0
ICAM1	1	0	0	0	0	0	1	0	1	0	0	0
SMIM3	1	0	0	0	0	0	1	0	0	0	1	0
1700021K19RIK	1	0	0	0	0	0	0	0	1	0	1	0
LPXN	1	0	0	0	0	0	0	0	1	0	1	0
TREX1	1	0	0	0	0	0	0	0	1	0	1	0
GPR155	1	0	0	0	0	0	0	0	1	0	1	0
GPX1	1	0	0	0	0	0	0	0	1	0	1	0
FGL2	0	1	1	0	0	1	0	0	0	0	0	0
DYRK3	0	1	0	1	0	0	1	0	0	0	0	0
TUBB6	0	1	0	0	1	0	1	0	0	0	0	0
LDLRAP1	0	1	0	0	1	0	1	0	0	0	0	0
BCL2L11	0	1	0	0	1	0	1	0	0	0	0	0
GLIPR2	0	1	0	0	0	0	1	0	1	0	0	0
CDH17	0	1	0	0	0	0	1	0	1	0	0	0
LY6A	0	1	0	0	0	0	1	0	1	0	0	0
SH2B2	0	1	0	0	0	0	1	0	1	0	0	0
BCL3	0	1	0	0	0	0	1	0	1	0	0	0
ARMCX2	0	1	0	0	0	0	1	0	1	0	0	0
TBXA2R	0	1	0	0	0	0	1	0	0	0	0	1
GFI1	0	1	0	0	0	0	0	1	0	1	0	0
TRIB2	0	1	0	0	0	0	0	1	0	1	0	0
CD93	0	1	0	0	0	0	0	1	0	0	0	1
SH2D2A	0	1	0	0	0	0	0	0	0	1	0	1
ZAP70	0	1	0	0	0	0	0	0	0	1	0	1
JDP2	0	0	1	1	0	0	1	0	0	0	0	0
LRMP	0	0	1	0	1	0	0	1	0	0	0	0
CD37	0	0	1	0	0	0	1	0	1	0	0	0
LAMP3	0	0	1	0	0	0	1	0	1	0	0	0
CD300A	0	0	1	0	0	0	1	0	1	0	0	0
ABCA9	0	0	0	1	1	0	1	0	0	0	0	0
TLR6	0	0	0	1	1	0	1	0	0	0	0	0
IL6RA	0	0	0	1	0	0	1	0	1	0	0	0
EVI2A	0	0	0	1	0	0	1	0	1	0	0	0
CTSH	0	0	0	1	0	0	0	0	1	0	1	0
PMAIP1	0	0	0	1	0	0	0	0	1	0	1	0
CCL6	0	0	0	0	1	0	1	0	1	0	0	0
NLRP3	0	0	0	0	1	0	1	0	1	0	0	0
GAS7	0	0	0	0	1	0	1	0	0	0	1	0
MS4A1	0	0	0	0	0	1	1	0	1	0	0	0
IL1B	0	0	0	0	0	1	1	0	1	0	0	0
PTPRC	0	0	0	0	0	1	0	0	1	0	1	0
IL10RA	0	0	0	0	0	0	1	0	1	0	1	0
ZFP385A	0	0	0	0	0	0	1	0	1	0	1	0
FAIM3	0	0	0	0	0	0	1	0	1	0	1	0
CD2	0	0	0	0	0	0	1	0	1	0	1	0
